WUP-FBGE,Adventure Island
WUP-FCXE,Adventures of Lolo
WUP-FAJE,Balloon Fight
WUP-FBLE,Baseball
WUP-FC2E,Bases Loaded
WUP-FEBE,Blaster Master
WUP-FB8E,Castlevania II Simons Quest
WUP-FCHE,Castlevania III Draculas Curse
WUP-FB3E,Castlevania
WUP-FE4E,City Connection
WUP-FBQE,Clu Clu Land
WUP-FDSE,Crash n the Boys Street Challenge
WUP-FEWE,DIG DUG II
WUP-FDEE,DIG DUG
WUP-FAWE,Donkey Kong Jr
WUP-FDDE,Donkey Kong Jr Math
WUP-FAFE,Donkey Kong
WUP-FBRE,Donkey Kong 3
WUP-FC8E,Double Dragon II The Revenge
WUP-FE8E,Double Dragon III The Sacred Stones
WUP-FB7E,Double Dragon
WUP-FB5E,Dr Mario
WUP-FEHE,Duck Hunt
WUP-FBDE,EarthBound Beginnings
WUP-FAGE,Excitebike
WUP-FA6E,Galaga
WUP-FC6E,Gargoyles Quest II The Demon Darkness
WUP-FBHE,GHOSTSN GOBLINS
WUP-FBSE,Golf
WUP-FATE,Gradius
WUP-FHAE,Hogans Alley
WUP-FACE,Ice Climber
WUP-FBUE,Ice Hockey
WUP-FBBE,Kid Icarus
WUP-FADE,Kirbys Adventure
WUP-FC9E,Life Force
WUP-FAVE,Lode Runner
WUP-FCQE,Mach Rider
WUP-FD9E,MAPPY-LAND
WUP-FAEE,Mario Bros
WUP-FANE,Mega Man
WUP-FAPE,Mega Man 2
WUP-FAZE,Mega Man 3
WUP-FA7E,Mega Man 4
WUP-FC5E,Mega Man 5
WUP-FCSE,MEGA MAN 6
WUP-FA8E,Metroid
WUP-FCCE,Mighty Bomb Jack
WUP-FDKE,Mighty Final Fight
WUP-FB4E,NES Open Tournament Golf
WUP-FE5E,Ninja Gaiden II The Dark Sword of Chaos
WUP-FCBE,Ninja Gaiden
WUP-FE6E,Ninja Gaiden III The Ancient Ship of Doom
WUP-FCZE,Pac-Land
WUP-FARE,PAC-MAN
WUP-FBNE,Pinball
WUP-FAKE,Punch-Out!! Featuring Mr Dream
WUP-FB6E,Renegade
WUP-FESE,River City Ransom
WUP-FDUE,SCAT
WUP-FDTE,Shadow of the Ninja
WUP-FDYE,SkyKid
WUP-FCPE,Soccer
WUP-FAYE,Solomons Key
WUP-FASE,Spelunker
WUP-FE2E,StarTropics
WUP-FD6E,STINGER
WUP-FDLE,Street Fighter 2010 The Final Fight
WUP-FCEE,Super C
WUP-FB2E,Super Dodge Ball
WUP-FAAE,Super Mario Bros
WUP-FAHE,Super Mario Bros 2
WUP-FABE,Super Mario Bros 3
WUP-FA9E,Super Mario Bros The Lost Levels
WUP-FE7E,TECMO BOWL
WUP-FBME,Tennis
WUP-FD2E,THE ADVENTURES OF BAYOU BiLLY
WUP-FBAE,The Legend of Zelda
WUP-FDAE,Ufouria The Saga
WUP-FBPE,Urban Champion
WUP-FCFE,Volleyball
WUP-FEZE,VS Excitebike
WUP-FBVE,Warios Woods
WUP-FEUE,Wild Gunman
WUP-FA4E,Wrecking Crew
WUP-FALE,Xevious
WUP-FAME,Yoshi
WUP-FBCE,Zelda II - The Adventure of Link
WUP-FE3E,Zodas Revenge Star Tropics II
WUP-FA2J,マッピー
WUP-FA4J,レッキングクルー
WUP-FA4P,Wrecking Crew
WUP-FA5J,ふぁみこんむかし話 新･鬼ヶ島（前後編）
WUP-FA6J,ギャラガ
WUP-FA6P,Galaga
WUP-FA7J,ロックマン4 新たなる野望!!
WUP-FA7P,Mega Man 4
WUP-FA8J,メトロイド
WUP-FA8P,Metroid
WUP-FA9J,スーパーマリオブラザーズ2
WUP-FA9P,Super Mario Bros The Lost Levels
WUP-FAAJ,スーパーマリオブラザーズ
WUP-FAAP,Super Mario Bros
WUP-FABJ,スーパーマリオブラザーズ3
WUP-FABP,Super Mario Bros 3
WUP-FACJ,アイスクライマー
WUP-FACP,Ice Climber
WUP-FADJ,星のカービィ 夢の泉の物語
WUP-FADP,Kirbys Adventure
WUP-FAEJ,マリオブラザーズ
WUP-FAEP,Mario Bros
WUP-FAFJ,ドンキーコング
WUP-FAFP,Donkey Kong
WUP-FAGJ,エキサイトバイク
WUP-FAGP,Excitebike
WUP-FAHJ,スーパーマリオUSA
WUP-FAHP,Super Mario Bros 2
WUP-FAJJ,バルーンファイト
WUP-FAJP,Balloon Fight
WUP-FAKJ,パンチアウト
WUP-FAKP,Punch-Out!!
WUP-FALJ,ゼビウス
WUP-FALP,Xevious
WUP-FAMJ,ヨッシーのたまご
WUP-FAMP,Mario&Yoshi
WUP-FANJ,ロックマン
WUP-FANP,Mega Man
WUP-FAPJ,ロックマン2 Drワイリーの謎
WUP-FAPP,Mega Man 2
WUP-FAQJ,ダウンタウン熱血行進曲 それゆけ大運動会
WUP-FARJ,パックマン
WUP-FARP,PAC-MAN
WUP-FASJ,スペランカー
WUP-FASP,Spelunker
WUP-FATJ,グラディウス
WUP-FATP,Gradius
WUP-FAUJ,ツインビー
WUP-FAVJ,ロードランナー
WUP-FAVP,Lode Runner
WUP-FAWJ,ドンキーコングJR
WUP-FAWP,Donkey Kong Jr
WUP-FAXJ,忍者じゃじゃ丸くん
WUP-FAYJ,ソロモンの鍵
WUP-FAYP,Solomons Key
WUP-FAZJ,ロックマン3 Drワイリーの最期!?
WUP-FAZP,Mega Man 3
WUP-FB2J,熱血高校ドッジボール部
WUP-FB2P,Super Dodge Ball
WUP-FB3J,悪魔城ドラキュラ
WUP-FB3P,Castlevania
WUP-FB4J,マリオオープンゴルフ
WUP-FB4P,NES Open Tournament Golf
WUP-FB5J,ドクターマリオ
WUP-FB5P,Dr Mario
WUP-FB6J,熱血硬派くにおくん
WUP-FB6P,Renegade
WUP-FB7J,ダブルドラゴン
WUP-FB7P,Double Dragon
WUP-FB8J,ドラキュラⅡ 呪いの封印
WUP-FB8P,Castlevania Ⅱ Simons Quest
WUP-FB9J,ELEVATOR ACTION
WUP-FBAJ,ゼルダの伝説
WUP-FBAP,The Legend of Zelda
WUP-FBBJ,光神話 パルテナの鏡
WUP-FBBP,Kid Icarus
WUP-FBCJ,リンクの冒険
WUP-FBCP,Zelda II - The Adventure of Link
WUP-FBDJ,MOTHER
WUP-FBDP,EarthBound Beginnings
WUP-FBEJ,いっき
WUP-FBGJ,高橋名人の冒険島
WUP-FBGP,Adventure Island
WUP-FBHJ,魔界村
WUP-FBHP,Ghostsn Goblins
WUP-FBKJ,ドルアーガの塔
WUP-FBLJ,ベースボール
WUP-FBLP,Baseball
WUP-FBMJ,テニス
WUP-FBMP,Tennis
WUP-FBNJ,ピンボール
WUP-FBNP,Pinball
WUP-FBPJ,アーバンチャンピオン
WUP-FBPP,Urban Champion
WUP-FBQJ,クルクルランド
WUP-FBQP,Clu Clu Land
WUP-FBRJ,ドンキーコング3
WUP-FBRP,Donkey Kong 3
WUP-FBSJ,ゴルフ
WUP-FBSP,GOLF
WUP-FBTJ,ファイナルファンタジー
WUP-FBUJ,アイスホッケー
WUP-FBUP,Ice Hockey
WUP-FBVJ,ワリオの森
WUP-FBVP,Warios Woods
WUP-FBWJ,BUBBLE BOBBLE
WUP-FBXJ,ファイナルファンタジーII
WUP-FBYJ,ファイナルファンタジーIII
WUP-FBZJ,ダウンタウンスペシャル くにおくんの時代劇だよ全員集合!
WUP-FC2J,燃えろ!!プロ野球
WUP-FC3J,イー･アル･カンフー
WUP-FC4J,けっきょく南極大冒険
WUP-FC5J,ロックマン5 ブルースの罠!?
WUP-FC5P,Mega Man 5
WUP-FC6J,レッドアリーマーⅡ
WUP-FC6P,Gargoyles Quest II The Demon Darkness
WUP-FC7J,謎の村雨城
WUP-FC8P,Double Dragon II The Revenge
WUP-FC9J,沙羅曼蛇
WUP-FC9P,Life Force
WUP-FCAJ,ファミコン探偵倶楽部 消えた後継者(前後編)
WUP-FCBJ,忍者龍剣伝
WUP-FCBP,Ninja Gaiden
WUP-FCCJ,マイティボンジャック
WUP-FCCP,Mighty Bomb Jack
WUP-FCDJ,がんばれゴエモン!からくり道中
WUP-FCEJ,SUPER魂斗羅
WUP-FCEP,Super C
WUP-FCFJ,バレーボール
WUP-FCFP,Volleyball
WUP-FCGJ,ファイアーエムブレム 暗黒竜と光の剣
WUP-FCHJ,悪魔城伝説
WUP-FCHP,Castlevania III Draculas Curse
WUP-FCJJ,半熟英雄
WUP-FCKJ,影の伝説
WUP-FCLJ,熱血高校ドッジボール部 サッカー編
WUP-FCMJ,飛龍の拳 奥義の書
WUP-FCMP,Flying Dragon The Secret Scroll
WUP-FCNJ,ファイアーエムブレム 外伝
WUP-FCPJ,サッカー
WUP-FCPP,Soccer
WUP-FCQJ,マッハライダー
WUP-FCQP,Mach Rider
WUP-FCRJ,いけいけ!熱血ホッケー部「すべってころんで大乱闘」
WUP-FCSJ,ロックマン6 史上最大の戦い!!
WUP-FCSP,Mega Man 6
WUP-FCTJ,バトルシティー
WUP-FCUJ,ワギャンランド
WUP-FCVJ,サラダの国のトマト姫
WUP-FCWJ,スーパーチャイニーズ
WUP-FCWP,Kung-Fu Heroes
WUP-FCXJ,アドベンチャーズ オブ ロロ
WUP-FCXP,Adventures of Lolo
WUP-FCYJ,ジョイメカファイト
WUP-FCZJ,パックランド
WUP-FCZP,PAC-LAND
WUP-FD2P,The Adventures of Bayou Billy
WUP-FD3J,月風魔伝
WUP-FD4J,ESPER DREAM(エスパードリーム)
WUP-FD5J,がんばれゴエモン2
WUP-FD6J,もえろツインビー シナモン博士を救え!
WUP-FD7J,すごろクエスト ダイスの戦士たち
WUP-FD8J,セクロス
WUP-FD9J,マッピーランド
WUP-FD9P,Mappy-Land
WUP-FDAJ,へべれけ
WUP-FDAP,Ufouria THE SAGA
WUP-FDBJ,バベルの塔
WUP-FDCJ,クインティ
WUP-FDDJ,ドンキーコングJRの算数遊び
WUP-FDDP,Donkey Kong Jr Math
WUP-FDEJ,ディグダグ
WUP-FDEP,Dig Dug
WUP-FDFJ,ドラゴンバスター
WUP-FDGJ,つっぱり大相撲
WUP-FDHJ,ナッツ&ミルク
WUP-FDJJ,五目ならべ 連珠
WUP-FDKJ,マイティファイナルファイト
WUP-FDKP,Mighty Final Fight
WUP-FDLJ,2010 ストリートファイター
WUP-FDLP,Street Fighter 2010 The Final Fight
WUP-FDMJ,デビルワールド
WUP-FDMP,Devil World
WUP-FDNJ,ワイワイワールド2 SOS!!パセリ城
WUP-FDPJ,がんばれゴエモン外伝2 天下の財宝
WUP-FDRJ,妖怪道中記
WUP-FDSJ,びっくり熱血新記録! はるかなる金メダル
WUP-FDSP,Crash n the Boys Street Challenge
WUP-FDTP,Shadow of the Ninja
WUP-FDUP,SCAT
WUP-FDVJ,スマッシュピンポン
WUP-FDWJ,ファミコンウォーズ
WUP-FDXJ,ワルキューレの冒険 時の鍵伝説
WUP-FDYJ,スカイキッド
WUP-FDZJ,POOYAN(プーヤン)
WUP-FE2P,StarTropics
WUP-FE3P,Zodas Revenge StarTropics II
WUP-FE5P,Ninja Gaiden II The Dark Sword of Chaos
WUP-FE6P,Ninja Gaiden III The Ancient Ship of Doom
WUP-FE7P,Tecmo Bowl
WUP-FE8P,Double Dragon III The Sacred Stones
WUP-FEAJ,アトランチスの謎
WUP-FEBJ,超惑星戦記 メタファイト
WUP-FEBP,Blaster Master
WUP-FECJ,バイオミラクル ぼくってウパ
WUP-FEDJ,チャンピオンシップ･ロードランナー
WUP-FEEJ,かんしゃく玉なげカン太郎の 東海道五十三次
WUP-FEFJ,ワギャンランド2
WUP-FEGJ,メトロクロス
WUP-FEHJ,ダックハント
WUP-FEHP,Duck Hunt
WUP-FEJJ,スターラスター
WUP-FEKJ,がんばれゴエモン外伝 きえた黄金キセル
WUP-FELJ,フィールドコンバット
WUP-FEMP,Little Ninja Brothers
WUP-FENP,Flying Warriors
WUP-FERJ,エクセリオン
WUP-FESJ,ダウンタウン熱血物語
WUP-FESP,Street Gangs
WUP-FETJ,メタルスレイダーグローリー
WUP-FEUP,Wild Gunman
WUP-FEWP,Dig Dug II
WUP-FEZJ,VSエキサイトバイク
WUP-FHAP,Hogans Alley